33 256,33186,29036
parammukhā,ind,
parampara,parampar,a adj
paramparā,parampar,ā f
paramparabhojana,paramparabhojan,aṃ nt
pārampariya,pārampariy,aṃ nt
paramuggahīta,paramuggahīt,a adj
paramukhā,ind,
parañca,ind,
paraneyya,paraneyy,a adj
pāraṅgata,pāraṅgat,a adj
paranimmitavasavattī,paranimmitavasavatt,ī adj
parapaccaya,parapaccay,a adj
parapada,parapad,aṃ nt
pārāpāra,pārāpār,aṃ nt
parapariggahita,parapariggahit,a adj
pārapata,pārapat,a m
parapaṭibaddha,parapaṭibaddh,a adj
parapattiya,parapattiy,a adj
parapessa,parapess,a adj
pārappatta,pārappatt,a adj
parappavāda,parappavād,a m
parapuggala,parapuggal,a m
parapurāya,ind,
parapuṭṭha,parapuṭṭh,a adj
parāsaṃ,par,a pron
parasamaññā,parasamaññ,ā f
parasara,parasar,a m
parasatta,parasatt,a m
parasenappamaddana,parasenappamaddan,a adj
parassapada,parassapad,aṃ nt
parassapadatta,parassapadatt,aṃ nt
parasu,paras,u1 m
parasuve,ind,
parato 1,par,a pron
parato 2,ind,
parattha1,paratth,a m
parattha 2,ind,
paravāda 1,paravād,a m
paravāda 2,paravād,a m
paravādī,paravād,ī m
paravambhana,paravambhan,aṃ nt
pāravata,pāravat,a m
paravisaya,paravisay,a m
paravisenā,paravisen,ā f
paravittūpakaraṇa,paravittūpakaraṇ,aṃ nt
parāyana 1,parāyan,a adj
parāyaṇa 1,parāyaṇ,a adj
parāyaṇa 2,parāyaṇ,a adj
parāyaṇa 3,parāyaṇ,aṃ nt
pārāyana 1,pārāyan,aṃ nt
pārāyana 2,pārāyan,aṃ nt
parāyatta,parāyatt,a adj
pare 1,ind,
pare 2,ind,
pare 3,par,a pron
paresa,par,a pron
paresaṃ 1,par,a pron
paresaṃ 2,par,a pron
paresaṃ 3,par,a pron
pareta 1,paret,a adj
pareta 2,paret,a adj
pārevata,pārevat,a m
pari,ind,
paribāhira,paribāhir,a adj
paribbāja,paribbāj,a m
paribbājaka,paribbājak,a m
paribbājakasamāpanna,paribbājakasamāpann,a adj
paribbājakaparisā,paribbājakaparis,ā f
paribbajati,paribbaj,ati pr
paribbājayitvā,ind,
paribbaje,paribbaj,eyya opt
paribbaji,paribbaj,i aor
paribbājikā,paribbājik,ā f
paribbasāna,paribbas,āna prp
paribbaya,paribbay,a m
paribbhamana,paribbhaman,aṃ nt
paribbhamanta,paribbham,anta prp
paribbhamati,paribbham,ati pr
paribbhamesi,paribbham,esi aor
paribbhameti,paribbham,eti pr
paribbhametvā,ind,
paribbhami,paribbham,i aor
paribbhamita,paribbhamit,a pp
paribbhamitvā,ind,
paribbhanta,paribbhant,a pp
paribbūḷha,paribbūḷh,a pp
paribhaṇḍa,paribhaṇḍ,a m
paribhaṇḍakata,paribhaṇḍakat,a adj
paribhāsa,paribhās,a m
paribhāsaka,paribhāsak,a adj
paribhāsamāna,paribhās,amāna prp
paribhāsana,paribhāsan,aṃ nt
paribhāsati,paribhās,ati pr
paribhāsi,paribh,āsi aor
paribhāsita,paribhāsit,a pp
paribhāsitvā,ind,
paribhaṭṭha 1,paribhaṭṭh,a pp
paribhaṭṭha 2,paribhaṭṭh,a pp
paribhava,paribhav,a m
paribhavamāna,paribhav,amāna prp
paribhavana,paribhavan,aṃ nt
paribhavanta,paribhav,anta prp
paribhavati,paribhav,ati pr
paribhavi,paribhav,i aor
paribhāvita 1,paribhāvit,a pp
paribhāvita 2,paribhāvit,a pp
paribhavitvā,ind,
paribhindi,paribhind,i aor
paribhinna 1,paribhinn,a pp
paribhinna 2,paribhinn,a pp
paribhoga 1,paribhog,a m
paribhoga 2,paribhog,a m
paribhogacetiya,paribhogacetiy,aṃ nt
paribhogajiṇṇa,paribhogajiṇṇ,a adj
pāribhogika,pāribhogik,a adj
paribhojanīya,paribhojanīy,a adj
paribhojaṇīya,paribhojaṇīy,a adj
paribhojanīyaghaṭa,paribhojanīyaghaṭ,a m
paribhojanīyudaka,paribhojanīyudak,aṃ nt
paribhotabba,paribhotabb,a ptp
paribhuñjamāna,paribhuñj,amāna prp
paribhuñjanta,paribhuñj,anta prp
paribhuñjati,paribhuñj,ati pr
paribhuñji,paribhuñj,i aor
paribhuñjitabba,paribhuñjitabb,a ptp
paribhuñjitvā,ind,
paribhuñjiya,ind,
paribhūta,paribhūt,a pp
paribhutta,paribhutt,a pp
paribhutvā,ind,
paribrūhati,paribrūh,ati pr
paricāraka 1,paricārak,a adj
paricāraka 2,paricārak,a m
paricāraka 3,paricārak,a m
paricaraṇa,paricaraṇ,aṃ nt
paricarati 1,paricar,ati pr
paricarati 2,paricar,ati pr
paricarati 3,paricar,ati pr
paricarati 4,paricar,ati pr
paricārayamāna,paricāray,amāna prp
paricāresi 1,paricār,esi aor
paricāresi 2,paricār,esi aor
paricāreti 1,paricār,eti pr
paricāreti 2,paricār,eti pr
paricāretvā,ind,
paricari,paricar,i aor
paricārika,paricārik,a m
paricārikā,paricārik,ā f
paricārita,paricārit,a pp
paricaritvā,ind,
pāricariyā,pāricariy,ā f
paricaya,paricay,a m
paricca,ind,
pariccāga 1,pariccāg,a m
pariccāga 2,pariccāg,a m
pariccaja,pariccaj,a adj
pariccajana,pariccajan,aṃ nt
pariccajanta,pariccaj,anta prp
pariccajati,pariccaj,ati pr
pariccaji,pariccaj,i aor
pariccajituṃ,ind,
pariccajitvā,ind,
pariccatta 1,pariccatt,a pp
pariccatta 2,pariccatt,a pp
paricchādanā,paricchādan,ā f
paricchanna,paricchann,a pp
pāricchattaka,pāricchattak,a m
pariccheda 1,paricched,a m
pariccheda 2,paricched,a m
paricchijja,ind,
paricchindana,paricchindan,aṃ nt
paricchindati,paricchind,ati pr
paricchindi,paricchind,i aor
paricchindiya,ind,
paricchinna,paricchinn,a pp
pariciṇṇa 1,pariciṇṇ,a pp
pariciṇṇa 2,pariciṇṇ,a pp
paricita,paricit,a pp
paricumbati,paricumb,ati pr
paricumbi,paricumb,i aor
paricumbita,paricumbit,a pp
paridaḍḍha,paridaḍḍh,a pp
paridahana,paridahan,aṃ nt
paridahati,paridah,ati pr
paridahi,paridah,i aor
paridahita,paridahit,a pp
paridahitvā,ind,
pariḍayhamāna,pariḍayh,amāna prp
pariḍayhana,pariḍayhan,aṃ nt
pariḍayhati,pariḍayh,ati pr
pariḍayhi,pariḍayh,i aor
pariḍayhitvā,ind,
pariddava,pariddav,a m
parideva,paridev,a m
paridevadhamma,paridevadhamm,a m
paridevamacchara,paridevamacchar,aṃ nt
paridevamāna,paridev,amāna prp
paridevanā,paridevan,ā f
paridevaneyya,paridevaneyy,a adj
paridevanta,paridev,anta prp
paridevati,paridev,ati pr
paridevayati,paridevay,ati pr
paridevi,paridev,i aor
paridevita 1,paridevit,aṃ nt
paridevita 2,paridevit,a pp
paridevitatta,paridevitatt,aṃ nt
paridevitvā,ind,
paridhaṃsaka,paridhaṃsak,a adj
paridhāvati,paridhāv,ati pr
paridhāvi,paridhāv,i aor
paridhāvita,paridhāvit,a pp
paridhāvitvā,ind,
paridhota,paridhot,a pp
paridhovati,paridhov,ati pr
paridhovi,paridhov,i aor
paridīpaka,paridīpak,a adj
paridīpana,paridīpan,aṃ nt
paridīpanā,paridīpan,ā f
paridīpenta,paridīp,enta prp
paridīpesi,paridīp,esi aor
paridīpeti,paridīp,eti pr
paridīpetvā,ind,
paridīpita,paridīpit,a pp
paridūsesi,paridūs,esi aor
paridūseti,paridūs,eti pr
paridūsetvā,ind,
paridūsita,paridūsit,a pp
parigaggahita,parigaggahit,a pp
parigaṇhana,parigaṇhan,aṃ nt
parigaṇhanta,parigaṇh,anta prp
parigaṇhāti,parigaṇh,āti pr
parigaṇhetvā,ind,
parigaṇhi,parigaṇh,i aor
parigaṇhitvā,ind,
pariggaha 1,pariggah,a m
pariggaha 2,pariggah,a m
pariggaha 3,pariggah,a m
pariggahetvā,ind,
pariggahita,pariggahit,a pp
pariggaṇhāti,pariggaṇh,āti pr
pariggayha,ind,
parigilati,parigil,ati pr
parigili,parigil,i aor
parigilita,parigilit,a pp
parigilitvā,ind,
parigūhanā,parigūhan,ā f
parigūhati,parigūh,ati pr
parigūhi,parigūh,i aor
parigūhita,parigūhit,a pp
parigūhitvā,ind,
parigūhiya,ind,
parigūḷha,parigūḷh,a pp
parihāna,parihān,aṃ nt
parihānadhamma,parihānadhamm,a adj
parihāni,parihān,i f
parihāniya,parihāniy,a adj
parihāpesi,parihāp,esi aor
parihāpeti,parihāp,eti pr
parihāpetvā,ind,
parihāpita,parihāpit,a pp
parihāra,parihār,a m
parihāraka,parihārak,a adj
pariharaṇa,pariharaṇ,aṃ nt
pariharaṇā,pariharaṇ,ā f
pariharanta,parihar,anta prp
parihārapatha,parihārapath,a m
pariharati 1,parihar,ati pr
pariharati 2,parihar,ati pr
pariharati 3,parihar,ati pr
parihari,pari,har aor
parihārika,parihārik,a adj
pariharita,pariharit,a pp
pariharitabba 1,pariharitabb,a ptp
pariharitabba 2,pariharitabb,a ptp
pariharitvā,ind,
parihariyati,parihariy,ati pr
parihāsa,parihās,a m
parihasati,parihas,ati pr
parihasi,parihas,i aor
parihasitvā,ind,
parihaṭa,parihaṭ,a pp
parihāyamāna,parihāy,amāna prp
parihāyati 1,parihāy,ati pr
parihāyati 2,parihāy,ati pr
parihāyati 3,parihāy,ati pr
parihāyi,parihāy,i aor
parihāyitvā,ind,
parihīna 1,parihīn,a pp
parihīna 2,parihīn,a adj
parihīna 3,parihīn,a pp
parihīnapañña,parihīnapaññ,a adj
parijana,parijan,a m
parijānana,parijānan,aṃ nt
parijānanā,parijānan,ā f
parijānanta,parijān,anta prp
parijānāti,parijān,āti pr
parijāni,parijān,i aor
parijānitvā,ind,
parijiṇṇa,parijiṇṇ,a adj
parijjiṇṇa,parijjiṇṇ,a pp
parikaḍḍhana,parikaḍḍhan,aṃ nt
parikaḍḍhati,parikaḍḍh,ati pr
parikaḍḍhi,parikaḍḍh,i aor
parikaḍḍhita,parikaḍḍhit,a pp
parikaḍḍhitvā,ind,
parikamma,parikamm,aṃ nt
parikammakāraka,parikammakārak,a m
parikammakata,parikammakat,a adj
parikantati,parikant,ati pr
parikanti,parikant,i aor
parikantita,parikantit,a pp
parikantitvā,ind,
parikappa 1,parikapp,a m
parikappa 2,parikapp,a m
parikappa 3,parikapp,a m
parikappesi,parikapp,esi aor
parikappeti,parikapp,eti pr
parikappetvā,ind,
parikappita,parikappit,a pp
parikassati 1,parikass,ati pr
parikassi,parikass,i aor
parikassita,parikassit,a pp
parikathā,parikath,ā f
parikhā,parikh,ā f
parikhaṇati 1,parikhaṇ,ati pr
parikhaṇati 2,parikhaṇ,ati pr
parikhaṇitvā,ind,
parikhata,parikhat,a pp
parikilamati,parikilam,ati pr
parikilami,parikilam,i aor
parikilamitvā,ind,
parikilanta,parikilant,a pp
parikilinna,parikilinn,a pp
parikilissana,parikilissan,aṃ nt
parikilissati,parikiliss,ati pr
parikilissi,parikiliss,i aor
parikilissitvā,ind,
parikiliṭṭha,parikiliṭṭh,a pp
parikiṇṇa,parikiṇṇ,a pp
parikirati,parikir,ati pr
parikiri,parikir,i aor
parikiritvā,ind,
parikiriya,ind,
parikissati,parikiss,ati pr
parikittesi,parikitt,esi aor
parikitteti,parikitt,eti pr
parikittita,parikittit,a pp
parikkamana,parikkaman,aṃ nt
parikkanta,parikkant,a adj
parikkha,parikkh,a m
parikkhā,parikkh,ā f
parikkhaka,parikkhak,a m
parikkhaṇa,parikkhaṇ,aṃ nt
parikkhāra,parikkhār,aṃ nt
parikkhata 1,parikkhat,a pp
parikkhata 2,parikkhat,a pp
parikkhata 3,parikkhat,a pp
parikkhati,parikkh,ati pr
parikkhaya,parikkhay,a m
parikkhayaṃ gacchati,parikkhayaṃ gacch,ati pr
parikkhayaṃ pariyādānaṃ gacchati,ind,
parikkhepa 1,parikkhep,a adj
parikkhepa 2,parikkhep,a m
parikkhepa 3,parikkhep,a m
parikkhi,parikkh,i aor
parikkhīṇa,parikkhīṇ,a pp
parikkhīṇabhavasaṃyojana,parikkhīṇabhavasaṃyojan,a adj
parikkhipanta,parikkhip,anta prp
parikkhipāpeti,parikkhipāp,eti pr
parikkhipati,parikkhip,ati pr
parikkhipi,parikkhip,i aor
parikkhipitabba,parikkhipitabb,a ptp
parikkhipitvā,ind,
parikkhita,parikkhit,a pp
parikkhitta 1,parikkhitt,a pp
parikkhitta 2,parikkhitt,a pp
parikkhitvā,ind,
pariklesa,parikles,a m
parikopesi,parikop,esi aor
parikopeti,parikop,eti pr
parikopetvā,ind,
parikopita,parikopit,a pp
parikupita,parikupit,a pp
parikuppati,parikupp,ati pr
parikuppi,parikupp,i aor
pariḷāha,pariḷāh,a m
pariḷāhasamaya,pariḷāhasamay,a m
pārima,pārim,a adj
parimaddana,parimaddan,aṃ nt
parimaddati,parimadd,ati pr
parimaddi,parimadd,i aor
parimaddita,parimaddit,a pp
parimadditvā,ind,
parimajjaka,parimajjak,a m
parimajjana,parimajjan,aṃ nt
parimajjati 1,parimajj,ati pr
parimajjati 2,parimajj,ati pr
parimajji,parimajj,i aor
parimajjita,parimajjit,a pp
parimajjitvā,ind,
parimāṇa 1,parimāṇ,a adj
parimāṇa 2,parimāṇ,aṃ nt
parimaṇḍala,parimaṇḍal,a adj
parimaṇḍalaṃ,ind,
parimasati,parimas,ati pr
parimaṭṭha,parimaṭṭh,a pp
parimita,parimit,a pp
parimocesi,parimoc,esi aor
parimoceti,parimoc,eti pr
parimocetvā,ind,
parimocita,parimocit,a pp
parimuccana,parimuccan,aṃ nt
parimuccati,parimucc,ati pr
parimucci,parimucc,i aor
parimuccitvā,ind,
parimukhaṃ,ind,
parimutta,parimutt,a pp
parimutti,parimutt,i f
pariṇāha,pariṇāh,a m
pariṇāma 1,pariṇām,a m
pariṇāma 2,pariṇām,a m
pariṇāmaṃ gacchati,pariṇāmaṃ gacch,ati pr
pariṇāmana,pariṇāman,aṃ nt
pariṇamati,pariṇam,ati pr
pariṇāmesi,pariṇām,esi aor
pariṇāmeti 1,pariṇām,eti pr
pariṇāmeti 2,pariṇām,eti pr
pariṇāmetvā,ind,
pariṇāmi,pariṇām,i aor
pariṇāmī,pariṇām,ī adj
pariṇāmita,pariṇāmit,a pp
pariṇata 1,pariṇat,a pp
pariṇata 2,pariṇat,a pp
pariṇaya,pariṇay,a m
parināyaka,parināyak,a m
pariṇāyaka,pariṇāyak,a m
parināyakaratana,parināyakaratan,aṃ nt
pariṇāyakaratana,pariṇāyakaratan,aṃ nt
parināyikā,parināyik,ā f
parinesi,parin,esi aor
parinibbāna,parinibbān,aṃ nt
parinibbāpana,parinibbāpan,aṃ nt
parinibbāti,parinibb,āti pr
parinibbāyati,parinibbāy,ati pr
parinibbāyi,parinibbāy,i aor
parinibbāyī,parinibbāy,ī adj
parinibbāyitvā,ind,
parinibbissati,parinibb,issati fut
parinibbuta,parinibbut,a pp
pariniṭṭhāna,pariniṭṭhān,aṃ nt
pariniṭṭhāpesi,pariniṭṭhāp,esi aor
pariniṭṭhāpeti,pariniṭṭhāp,eti pr
pariniṭṭhāpetvā,ind,
pariniṭṭhāpita,pariniṭṭhāpit,a pp
pariñña,pariññ,a adj
pariññā 1,pariññ,ā f
pariññā 2,ind,
pariññāta,pariññāt,a pp
pariññātabhojana,pariññātabhojan,a adj
pariññātanta,pariññātant,a adj
pariññātāvī,pariññātāv,ī adj
pariññattha,pariññatth,a adj
pariññāya,ind,
pariññeyya 1,pariññeyy,a adj
pariññeyya 2,pariññeyy,a ptp
paripācana,paripācan,aṃ nt
paripācesi,paripāc,esi aor
paripāceti,paripāc,eti pr
paripācita,paripācit,a pp
paripāka 1,paripāk,a m
paripāka 2,paripāk,a m
paripāka 3,paripāk,a m
paripakka,paripakk,a pp
paripālesi,paripāl,esi aor
paripāleti,paripāl,eti pr
paripāletvā,ind,
paripālita,paripālit,a pp
paripañhati,paripañh,ati pr
paripañhitabba,paripañhitabb,a ptp
paripantha 1,paripanth,a m
paripanthe tiṭṭhati,ind,
paripanthika,paripanthik,a adj
pāripanthika,pāripanthik,a adj
paripata,,
paripatati,paripat,ati pr
paripātesi,paripāt,esi aor
paripāteti,paripāt,eti pr
paripātetvā 1,ind,
paripātetvā 2,ind,
paripati,paripat,i aor
paripatita,paripatit,a pp
paripātita,paripātit,a pp
pariphandamāna,pariphand,amāna prp
pariphandati,pariphand,ati pr
pariphandi,pariphand,i aor
pariphandita,pariphandit,a pp
paripīḷesi,paripīḷ,esi aor
paripīḷeti,paripīḷ,eti pr
paripīḷita,paripīḷit,a pp
pariplava,pariplav,a adj
pariplavati,pariplav,ati pr
pariplavi,pariplav,i aor
pariplavita,pariplavit,a pp
parippharati,paripphar,ati pr
paripphosakaṃ,ind,
paripphoseti,paripphos,eti pr
paripphosita,paripphosit,a pp
paripphuta,paripphut,a pp
paripphuṭa,paripphuṭ,a pp
paripucchā 1,paripucch,ā f
paripucchā 2,paripucch,ā f
paripucchaka,paripucchak,a adj
paripucchati,paripucch,ati pr
paripucchi,paripucch,i aor
paripucchita,paripucchit,a pp
paripucchitabba,paripucch,ati pr
paripucchitvā,ind,
paripuṇṇa 1,paripuṇṇ,a pp
paripuṇṇa 2,paripuṇṇ,a adj
paripuṇṇa 3,paripuṇṇ,a adj
paripuṇṇasekha,paripuṇṇasekh,a m
paripuṇṇatā,paripuṇṇat,ā f
paripūra 1,paripūr,a adj
paripūra 2,paripūr,a pp
paripūraka,paripūrak,a adj
paripūrakārī,paripūrakār,ī m
paripūrakāritā,paripūrakārit,ā f
paripūraṇa,paripūraṇ,aṃ nt
paripūrati,paripūr,ati pr
pāripūrattha,pāripūratth,a m
paripūrayati,paripūray,ati pr
paripūrenta,paripūr,enta prp
paripūresi,paripūr,esi aor
paripūretabba,paripūretabb,a ptp
paripūreti 1,paripūr,eti pr
paripūreti 2,paripūr,eti pr
paripūretvā,ind,
paripūri,paripūr,i aor
pāripūri,pāripūr,i f
pāripūriṃ gacchati,pāripūriṃ gacch,ati pr
paripūrita,paripūrit,a pp
paripūritvā,ind,
paripūriya,ind,
paripuṭṭha,paripuṭṭh,a pp
parirakkhana,parirakkhan,aṃ nt
parirakkhati,parirakkh,ati pr
parirundhati,parirundh,ati pr
parisā 1,paris,ā f
parisā 2,paris,ā f
parisadūsaka,parisadūsak,a m
parisagata,parisagat,a adj
parisaggata,parisaggat,a adj
parisahati,parisah,ati pr
parisahi,parisah,i aor
pārisajja,pārisajj,a m
parisakkana,parisakkan,aṃ nt
parisakkati,parisakk,ati pr
parisakki,parisakk,i aor
parisakkita,parisakkit,a pp
parisamantato,ind,
parisambāhati,parisambāh,ati pr
parisandeti,parisand,eti pr
parisaṅkā,parisaṅk,ā f
parisaṅkati,parisaṅk,ati pr
parisaṅki,parisaṅk,i aor
parisaṅkita,parisaṅkit,a pp
parisaṅkitvā,ind,
parisanna,parisann,a pp
parisappanā,parisappan,ā f
parisappati,parisapp,ati pr
parisappi,parisapp,i aor
parisappita,parisappit,a pp
parisati,paris,ā f l
parisāvacara,parisāvacar,a adj
parisedeti,parised,eti pr
parisedita,parisedit,a pp
parisiñcati,parisiñc,ati pr
parisiñci,parisiñc,i aor
parisiñcitvā,ind,
parisitta,parisitt,a pp
parisodhana,parisodhan,aṃ nt
parisodhesi,parisodh,esi aor
parisodheti,parisodh,eti pr
parisodhetvā,ind,
parisodhita,parisodhit,a pp
parisodhiya,ind,
parisoka,parisok,a m
parisosesi,parisos,esi aor
parisoseti,parisos,eti pr
parisosita,parisosit,a pp
parissajana,parissajan,aṃ nt
parissajanta,parissaj,anta prp
parissajati,parissaj,ati pr
parissaji,parissaj,i aor
parissajita,parissajit,a pp
parissajitvā,ind,
parissama,parissam,a m
parissanta,parissant,a pp
parissāvana,parissāvan,aṃ nt
parissāvesi,parissāv,esi aor
parissāveti,parissāv,eti pr
parissāvetvā,ind,
parissāvita,parissāvit,a pp
parissaya,parissay,a m
parisuddha 1,parisuddh,a adj
parisuddha 2,parisuddh,a pp
parisuddhakāyasamācāra,parisuddhakāyasamācār,a adj
parisuddhakāyasamācāratā,parisuddhakāyasamācārat,ā f
parisuddhatta,parisuddhatt,aṃ nt
parisuddhavacīsamācāra,parisuddhavacīsamācār,a adj
parisuddhavacīsamācāratā,parisuddhavacīsamācārat,ā f
parisuddhavaṇṇa,parisuddhavaṇṇ,a m
parisuddhetthāyasmanto,ind,
parisuddhi,parisuddh,i f
pārisuddhi,pārisuddh,i f
pārisuddhisīla,pārisuddhisīl,aṃ nt
parisujjhanta,parisujjh,anta prp
parisujjhati,parisujjh,ati pr
parisujjhi,parisujjh,i aor
parisujjhitvā,ind,
parisukkha,parisukkh,a pp
parisussana,parisussan,aṃ nt
parisussati,parisuss,ati pr
parisussi,parisuss,i aor
parisussitvā,ind,
paritāpa,paritāp,a m
paritāpana,paritāpan,aṃ nt
paritāpesi,paritāp,esi aor
paritāpeti,paritāp,eti pr
paritāpetvā,ind,
paritāpita,paritāpit,a pp
paritappati,paritapp,ati pr
paritappi,paritapp,i aor
paritassanā,paritassan,ā f
paritassati,paritass,ati pr
paritassi,paritass,i aor
paritassita,paritassit,a pp
parito,ind,
paritosesi,paritos,esi aor
paritoseti,paritos,eti pr
paritosetvā,ind,
paritosita,paritosit,a pp
paritta 1,paritt,a adj
paritta 2,paritt,a adj
paritta 3,paritt,aṃ nt
paritta 4,paritt,aṃ nt
parittacetasa,parittacetas,a adj
parittaka,parittak,a adj
parittāṇa,parittāṇ,aṃ nt
parittapañña,parittapaññ,a adj
parittasati 1,parittas,ati pr
parittasutta,parittasutt,aṃ nt
parittāyaka,parittāyak,a adj
paritulesi,paritul,esi aor
parituleti,paritul,eti pr
parituletvā,ind,
paritulita,paritulit,a pp
parivaccha,parivacch,aṃ nt
parivajjana,parivajjan,aṃ nt
parivajjati,parivajj,ati pr
parivajjayanta,parivajjay,anta prp
parivajjayati,parivajjay,ati pr
parivajjenta,parivajj,enta prp
parivajjesi,parivajj,esi aor
parivajjeti 1,parivajj,eti pr
parivajjeti 2,parivajj,eti pr
parivajjetvā,ind,
parivajjita,parivajjit,a pp
parivaṇṇayi,parivaṇṇay,i aor
parivāra 1,parivār,a m
parivāra 2,parivār,a m
parivāraka,parivārak,a adj
parivāraṇa,parivāraṇ,aṃ nt
parivāresi,parivār,esi aor
parivāreti,parivār,eti pr
parivāretvā,ind,
parivārita,parivārit,a pp
parivāsa,parivās,a m
parivasati,parivas,ati pr
parivasi,parivas,i aor
parivāsita,parivāsit,a pp
parivaṭṭa,parivaṭṭ,aṃ nt
parivatta 1,parivatt,a adj
parivatta 2,parivatt,a pp
parivattaka,parivattak,a adj
parivaṭṭaka,parivaṭṭak,a adj
pārivattaka,pārivattak,a m
parivattamāna,parivatt,amāna prp
parivattana,parivattan,aṃ nt
parivattati 1,parivatt,ati pr
parivattesi,parivatt,esi aor
parivatteti 1,parivatt,eti pr
parivatteti 2,parivatt,eti pr
parivattetvā 1,ind,
parivattetvā 2,ind,
parivatthabba,parivatthabb,a ptp
parivatti 1,parivatt,i aor
parivatti 2,parivatt,i aor
parivattita,parivattit,a pp
parivattitvā,ind,
parivattiya 1,ind,
parivattiya 2,ind,
pariveṇa,pariveṇ,aṃ nt
parivesaka,parivesak,a adj
parivesanā,parivesan,ā f
parivīmaṃsā,parivīmaṃs,ā f
parivīmaṃsamāna,parivīmaṃs,amāna prp
parivīmaṃsati,parivīmaṃs,ati pr
parivīmaṃsi,parivīmaṃs,i aor
parivisati,parivis,ati pr
parivisi,parivis,i aor
parivisitvā,ind,
parivitakka,parivitakk,a m
parivitakkesi,parivitakk,esi aor
parivitakketi,parivitakk,eti pr
parivitakketvā,ind,
parivitakkita,parivitakkit,a pp
parivuta,parivut,a pp
parivuttha,parivutth,a pp
parivutthaparivāsa,parivutthaparivās,a adj
pariya,pariy,a m
pariyādāna,pariyādān,aṃ nt
pariyādāpetvā,ind,
pariyādāti,pariyād,āti pr
pariyādāya 1,ind,
pariyādāya 2,ind,
pariyādinna 1,pariyādinn,a pp
pariyādinna 2,pariyādinn,a pp
pariyādiṇṇa 1,pariyādiṇṇ,a pp
pariyādinnacitta,pariyādinnacitt,a adj
pariyādiyati,pariyādiy,ati pr
pariyādiyi,pariyādiy,i aor
pariyādiyitvā,ind,
pariyāhanana,pariyāhanan,aṃ nt
pariyāhanati,pariyāhan,ati pr
pariyāhani,pariyāhan,i aor
pariyāhata,pariyāhat,a pp
pariyanta 1,pariyant,a adj
pariyanta 2,pariyant,a m
pariyanta 3,pariyant,a adj
pariyantakārī,pariyantakār,ī adj
pariyantakata,pariyantakat,a adj
pariyantamakāsi,pariyantamak,āsi aor
pariyantavant,pariyantav,ant adj
pariyantika,pariyantik,a adj
pariyāpādeti,pariyāpād,eti pr
pariyāpanna 1,pariyāpann,a adj
pariyāpanna 2,pariyāpann,a adj
pariyāpanna 3,pariyāpann,a adj
pariyāpuṇana,pariyāpuṇan,aṃ nt
pariyāpuṇāti,pariyāpuṇ,āti pr
pariyāpuṇi,pariyāpuṇ,i aor
pariyāpuṇitabba,pariyāpuṇitabb,a ptp
pariyāpuṇitvā,ind,
pariyāputa,pariyāput,a pp
pariyāti,pariy,āti pr
pariyatta,pariyatt,a adj
pariyatti,pariyatt,i f
pariyattibahula,pariyattibahul,a adj
pariyattidhamma,pariyattidhamm,a m
pariyattidhara,pariyattidhar,a adj
pariyattisāsana,pariyattisāsan,aṃ nt
pariyāya 1,pariyāy,a m
pariyāya 2,pariyāy,a m
pariyāya 3,pariyāy,a m
pariyāya 4,pariyāy,a m
pariyāya 5,pariyāy,a m
pariyāyabhattabhojanānuyogamanuyutta,pariyāyabhattabhojanānuyogamanuyutt,a adj
pariyāyabhattika,pariyāyabhattik,a m
pariyāyadassāvī,pariyāyadassāv,ī adj
pariyāyakathā,pariyāyakath,ā f
pariyāyaṃ karoti,pariyāyaṃ kar,oti pr
pariyāyamakāsi,pariyāyamak,āsi aor
pariyāyati,pariyāy,ati pr
pariyāyena,ind,
pariyesamāna,pariyes,amāna prp
pariyesanā,pariyesan,ā f
pariyesanta,pariyes,anta prp
pariyesati,pariyes,ati pr
pariyesi,pariy,esi aor
pariyesita,pariyesit,a pp
pariyesitabba,pariyesitabb,a ptp
pariyesitvā,ind,
pariyeṭṭhi,pariyeṭṭh,i f
pariyodapanā,pariyodapan,ā f
pariyodapesi,pariyodap,esi aor
pariyodapeti,pariyodap,eti pr
pariyodāpeti,pariyodāp,eti pr
pariyodapita,pariyodapit,a pp
pariyodāta,pariyodāt,a adj
pariyodha,pariyodh,a m
pariyodhāya atthaṃ bhaṇati,ind,
pariyoga,pariyog,a m
pariyogāhana,pariyogāhan,aṃ nt
pariyogāhati,pariyogāh,ati pr
pariyogāhetvā,ind,
pariyogāhi,pariyogāh,i aor
pariyogāhitvā,ind,
pariyogaḷha,pariyogaḷh,a pp
pariyogāḷha,pariyogāḷh,a pp
pariyogāḷhadhamma,pariyogāḷhadhamm,a adj
pariyonaddha 1,pariyonaddh,a pp
pariyonāha,pariyonāh,a m
pariyonahana,pariyonahan,aṃ nt
pariyonandhati,pariyonandh,ati pr
pariyonandhi,pariyonandh,i aor
pariyosāna,pariyosān,aṃ nt
pariyosānakalyāṇa,pariyosānakalyāṇ,a adj
pariyosāpesi,pariyosāp,esi aor
pariyosāpeti,pariyosāp,eti pr
pariyosāpetvā,ind,
pāriyosāpita,pāriyosāpit,a pp
pariyosita,pariyosit,a pp
pariyuṭṭha,pariyuṭṭh,a adj
pariyuṭṭhāna,pariyuṭṭhān,aṃ nt
pariyuṭṭhāsi,pariyuṭṭh,āsi aor
pariyuṭṭhāti,pariyuṭṭh,āti pr
