adjectives,,,,,,,,,,,,,,cardinal numbers,,,,,,,,,,,,,,pronouns,,,,,,,,,,,,,,participles,,,,,,,,,,,,,,masculine nouns,,,,,,,,,,,,feminine nouns,,,,,,neuter nouns,,,,,,verbs,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in comps,ī,,,,,,,,,,,,,ā card,fem sg,,,,,,,,,,,,,ahaṃ pron,masc sg,,masc pl,,,amha pron,masc sg,,masc pl,,,,,voc,"aṃ
a
ā",m.voc.sg,"anto
antā",m.voc.pl,antiantī,f.voc.sg,"antī
antiyo",f.voc.pl,"aṃ
a
ā",nt.voc.sg,"anto
antā",nt.voc.pl,,in comps,"i
ī",,,,,,,,,,,in comps,i,,,,,in comps,u,,,,,imp 1st,emi,imp.1.sg,ema,imp.1.pl,e,imp.reflx.1.sg,emase,imp.reflx.1.pl,
,,,,,,,,,,,,,,nom,"aṃ 
ā",f.nom.sg,,,,,,,,,,,,nom,ahaṃ,1.nom.sg,"mayaṃ
amhe",1.nom.pl,,nom,ahaṃ,1.nom.sg,"mayaṃ
amhe",1.nom.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opt 3rd,"eyya
e",opt.3.sg,eyyuṃ,opt.3.pl,etha,opt.reflx.3.sg,eraṃ,opt.reflx.3.pl,
in adj,masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,acc,aṃ,f.acc.sg,,,,,,,,,,,,acc,"maṃ
mamaṃ
me",1.acc.sg,"amhe
amhākaṃ
no",1.acc.pl,,acc,"maṃ
mamaṃ
me",1.acc.sg,"amhe
amhākaṃ
no",1.acc.pl,,,,"amāna prp
",masc sg,,masc pl,,fem sg,,fem pl,,neut sg,,neut pl,,,i masc,masc sg,,masc pl,,,,,,,,,ī f,fem sg,,fem pl,,,iṃ nt,neut sg,,neut pl,,,opt 2nd,"eyyāsi
e",opt.2.sg,"eyyātha
etha",opt.2.pl,etho,opt.reflx.2.sg,"eyyavho
eyyāvho",opt.reflx.2.pl,
nom,ī,m.nom.sg,"ī
ino",m.nom.pl,inī,f.nom.sg,iniyo,f.nom.pl,"i
iṃ",nt.nom.sg,"ini
ī",nt.nom.pl,,instr,āya,f.instr.sg,,,,,,,,,,,,instr,"mayā
me",1.instr.sg,"amhehi
no",1.instr.pl,,instr,"mayā
me",1.instr.sg,"amhehi
no",1.instr.pl,,,,nom,amāno,m.nom.sg,amānā,m.nom.pl,amānā,f.nom.sg,"amānā
amānāyo",f.nom.pl,amānaṃ,nt.nom.sg,"amānā
amānāni",nt.nom.pl,,nom,i,m.nom.sg,"ī
ayo",m.nom.pl,,,,,,,,nom,ī,f.nom.sg,"ī
iyo",f.nom.pl,,nom,i,nt.nom.sg,"ī
īni",nt.nom.pl,,opt 1st,"eyyāmi
eyyaṃ
e",opt.1.sg,"eyyāma
ema
emu",opt.1.pl,eyyaṃ,opt.reflx.1.sg,eyyāmhe,opt.reflx.1.pl,
acc,inaṃ,m.acc.sg,"ī
ino",m.acc.pl,iniṃ,f.acc.sg,iniyo,f.acc.pl,"i
iṃ",nt.acc.sg,"ini
ī",nt.acc.pl,,dat,āya,f.dat.sg,,,,,,,,,,,,dat,"mama
mayhaṃ
mayha
me
mamaṃ",1.dat.sg,"amhaṃ
amhākaṃ
no",1.dat.pl,,dat,"mama
mayhaṃ
mayha
me
mamaṃ",1.dat.sg,"amhaṃ
amhākaṃ
no",1.dat.pl,,,,acc,amānaṃ,m.acc.sg,amāne,m.acc.pl,amānaṃ,f.acc.sg,"amānā
amānāyo",f.acc.pl,amānaṃ,nt.acc.sg,"amānā
amānāni",nt.acc.pl,,acc,iṃ,m.acc.sg,"ī
ayo",m.acc.pl,,,,,,,,acc,iṃ,f.acc.sg,"ī
iyo",f.acc.pl,,acc,iṃ,nt.acc.sg,"ī
īni",nt.acc.pl,,fut 3rd,issati,fut.3.sg,issanti,fut.3.pl,issate,fut.reflx.3.sg,issante,fut.reflx.3.pl,
instr,inā,m.instr.sg,"ihiīhi
ibhi",m.instr.pl,iniyā,f.instr.sg,inīhi,f.instr.pl,inā,nt.instr.sg,"ihi
īhi",nt.instr.pl,,abl,āya,f.abl.sg,,,,,,,,,,,,abl,mayā,1.abl.sg,amhehi,1.abl.pl,,abl,mayā,1.abl.sg,amhehi,1.abl.pl,,,,instr,amānena,m.instr.sg,amānehi,m.instr.pl,amānāya,f.instr.sg,amānāhi,f.instr.pl,amānena,nt.instr.sg,amānehi,nt.instr.pl,,instr,inā,m.instr.sg,"īhi
ībhi
ibhi",m.instr.pl,,,,,,,,instr,iyā,f.instr.sg,"īhi
ibhi
ībhi",f.instr.pl,,instr,inā,nt.instr.sg,"īhi
ibhi",nt.instr.pl,,fut 2nd,issasi,fut.2.sg,issatha,fut.2.pl,issase,fut.reflx.2.sg,issavhe,fut.reflx.2.pl,
dat,ino,m.dat.sg,"inaṃ
īnaṃ",m.dat.pl,iniyā,f.dat.sg,inīnaṃ,f.dat.pl,ino,nt.dat.sg,"inaṃ
īnaṃ",nt.dat.pl,,gen,āya,f.gen.sg,,,,,,,,,,,,gen,"mama
mayhaṃ
mayha
me
mamaṃ",1.gen.sg,"amhaṃ
amhākaṃ
no",1.gen.pl,,gen,"mama
mayhaṃ
mayha
me
mamaṃ",1.gen.sg,"amhaṃ
amhākaṃ
no",1.gen.pl,,,,dat,"amānāya
amānassa",m.dat.sg,amānānaṃ,m.dat.pl,amānāya,f.dat.sg,amānānaṃ,f.dat.pl,"amānāya
amānassa",nt.dat.sg,amānānaṃ,nt.dat.pl,,dat,"ino
issa",m.dat.sg,īnaṃ,m.dat.pl,,,,,,,,dat,iyā,f.dat.sg,īnaṃ,f.dat.pl,,dat,"ino
issa",nt.dat.sg,īnaṃ,nt.dat.pl,,fut 1st,issāmi,fut.1.sg,issāma,fut.1.pl,issaṃ,fut.reflx.1.sg,issāmhe,fut.reflx.1.pl,
abl,"inā
ismā
imhā",m.abl.sg,"ihi
īhi",m.abl.pl,iniyā,f.abl.sg,inīhi,f.abl.pl,"inā
ito
ismā
imhā",nt.abl.sg,"ihi
īhi",nt.abl.pl,,loc,"āya 
āyaṃ",f.loc.sg,,,,,,,,,,,,loc,mayi,1.loc.sg,amhesu,1.loc.pl,,loc,mayi,1.loc.sg,amhesu,1.loc.pl,,,,abl,"amānā
amānamhā
amānasmā",m.abl.sg,amānehi,m.abl.pl,amānāya,f.abl.sg,amānāhi,f.abl.pl,"amānā
amānamhā
amānasmā",nt.abl.sg,amānehi,nt.abl.pl,,abl,"inā
imhā
ismā",m.abl.sg,"īhi
ībhi
ibhi",m.abl.pl,,,,,,,,abl,iyā,f.abl.sg,"īhi
ibhi
ībhi",f.abl.pl,,abl,"inā
imhā
ismā",nt.abl.sg,"īhi
ibhi",nt.abl.pl,,,,,,,,,,,
gen,ino,m.gen.sg,"inaṃ
īnaṃ",m.gen.pl,iniyā,f.gen.sg,inīnaṃ,f.gen.pl,"ino
issa",nt.gen.sg,"inaṃ
īnaṃ",nt.gen.pl,,in comps,a,,,,,,,,,,,,,in comps,,,,,,in comps,,,,,,,,gen,amānassa,m.gen.sg,amānānaṃ,m.gen.pl,amānāya,f.gen.sg,amānānaṃ,f.gen.pl,amānassa,nt.gen.sg,amānānaṃ,nt.gen.pl,,gen,"ino
issa",m.gen.sg,īnaṃ,m.gen.pl,,,,,,,,gen,iyā,f.gen.sg,īnaṃ,f.gen.pl,,gen,"ino
issa",nt.gen.sg,īnaṃ,nt.gen.pl,,āti pr,sg,,pl,,reflx sg,,reflx pl,,
loc,"ini
ismiṃ
imhi",m.loc.sg,"isu
īsu",m.loc.pl,"iniyā
iniyāṃ",f.loc.sg,inīsu,f.loc.pl,"ismiṃ
imhi",nt.loc.sg,"isu
īsu",nt.loc.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loc,"amāne
amānamhi
amānasmiṃ",m.loc.sg,amānesu,m.loc.pl,"amānāyaṃ
amānāya",f.loc.sg,amānāsu,f.loc.pl,"amāne
amānamhi
amānasmiṃ",nt.loc.sg,amānesu,nt.loc.pl,,loc,"imhi
ismiṃ",m.loc.sg,īsu,m.loc.pl,,,,,,,,loc,"iyā
iyaṃ",f.loc.sg,īsu,f.loc.pl,,loc,"ini
imhi
ismiṃ",nt.loc.sg,"isu
īsu",nt.loc.pl,,pr 3rd,āti,pr.3.sg,anti,pr.3.pl,,pr.reflx.3.sg,,pr.reflx.3.pl,
